Group,Sentence,Expected_Referent,Pronoun
91,The digital marketer and the social media coordinator launched the campaign because he tracked online engagement.,digital marketer,he
92,The logistics manager and the customer service rep resolved the delivery issue because she addressed customer complaints.,customer service rep,she
92,The customer service rep and the logistics manager resolved the delivery issue because she addressed customer complaints.,customer service rep,she
92,The customer service rep and the logistics manager resolved the delivery issue because he addressed customer complaints.,logistics manager,he
92,The logistics manager and the customer service rep resolved the delivery issue because he addressed customer complaints.,logistics manager,he
93,The quality assurance manager and the line inspector reviewed production quality because she found a defect.,line inspector,she
93,The line inspector and the quality assurance manager reviewed production quality because she found a defect.,line inspector,she
93,The line inspector and the quality assurance manager reviewed production quality because he found a defect.,quality assurance manager,he
93,The quality assurance manager and the line inspector reviewed production quality because he found a defect.,quality assurance manager,he
94,The research fellow and the lab assistant compiled the experiment data because she set up the apparatus.,lab assistant,she
94,The lab assistant and the research fellow compiled the experiment data because she set up the apparatus.,lab assistant,she
94,The lab assistant and the research fellow compiled the experiment data because he set up the apparatus.,research fellow,he
94,The research fellow and the lab assistant compiled the experiment data because he set up the apparatus.,research fellow,he
95,The civil engineer and the project estimator calculated the costs because she reviewed the blueprints.,project estimator,she
95,The project estimator and the civil engineer calculated the costs because she reviewed the blueprints.,project estimator,she
95,The project estimator and the civil engineer calculated the costs because he reviewed the blueprints.,civil engineer,he
95,The civil engineer and the project estimator calculated the costs because he reviewed the blueprints.,civil engineer,he
96,The mechanical engineer and the tool designer refined the prototype because she tested the new design.,tool designer,she
96,The tool designer and the mechanical engineer refined the prototype because she tested the new design.,tool designer,she
96,The tool designer and the mechanical engineer refined the prototype because he tested the new design.,mechanical engineer,he
96,The mechanical engineer and the tool designer refined the prototype because he tested the new design.,mechanical engineer,he
97,The cybersecurity specialist and the network administrator secured the system because she updated the firewall.,network administrator,she
97,The network administrator and the cybersecurity specialist secured the system because she updated the firewall.,network administrator,she
97,The network administrator and the cybersecurity specialist secured the system because he updated the firewall.,cybersecurity specialist,he
97,The cybersecurity specialist and the network administrator secured the system because he updated the firewall.,cybersecurity specialist,he
98,The mobile app developer and the UI designer redesigned the interface because she improved user experience.,UI designer,she
98,The UI designer and the mobile app developer redesigned the interface because she improved user experience.,UI designer,she
98,The UI designer and the mobile app developer redesigned the interface because he improved user experience.,mobile app developer,he
98,The mobile app developer and the UI designer redesigned the interface because he improved user experience.,mobile app developer,he
99,The data scientist and the business intelligence analyst analyzed the trends because she interpreted the analytics.,business intelligence analyst,she
99,The business intelligence analyst and the data scientist analyzed the trends because she interpreted the analytics.,business intelligence analyst,she
99,The business intelligence analyst and the data scientist analyzed the trends because he interpreted the analytics.,data scientist,he
99,The data scientist and the business intelligence analyst analyzed the trends because he interpreted the analytics.,data scientist,he
100,The chemical engineer and the process technician optimized the process because she monitored production levels.,process technician,she
100,The process technician and the chemical engineer optimized the process because she monitored production levels.,process technician,she
100,The process technician and the chemical engineer optimized the process because he monitored production levels.,chemical engineer,he
100,The chemical engineer and the process technician optimized the process because he monitored production levels.,chemical engineer,he
